,0,1,2,3
0,Unit of Competency,Learning Outcomes,Methodology,Assessment Approach
1,1. Lay and repair wall and floor tiles,1.1 Plan and prepare for tiling works 1.2 Lay floor tiles 1.3 Install wall tiles 1.4 Repair tile works,Simulation Self -paced instructions Discussion Practical exercises,Written test Observation Interview
2,2. Tile corners,2.1 Lay / install tile internal corners 2.2 Lay / install tile external corners,Simulation Self -paced instructions Discussion Practical exercises,Written test Observation Interview
3,3. Tile curved surfaces,3.1 Lay / install tiles on curved surfaces 3.2 Install mosaic tiles on curved surfaces,Simulation Self -paced instructions Discussion Practical exercises,Observation Interview
