,0,1,2,3
0,Unit of Competency,Learning Outcomes,Methodology,Assessment Approach
1,2. Perform productive operation for Truck Mounted Crane,2.1 Perform loading and unloading of truck-mounted crane to trailer (low bed) 4.2 Perform truck mounted crane application,Lecture Practical / Demonstration,Observation / Demonstration and interview Written test
2,3. Perform basic preventive maintenance servicing for Truck Mounted Crane,"4.1 Perform safety practices, and housekeeping 4.2 Perform preventive maintenance and servicing",Lecture Practical / Demonstration,Observation / Demonstration and interview Written test
