,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodologies,Assessment Methods,Nominal Duration
1,,3.8 Perform basic block laying,Identify and explain methods of laying blocks Enumerate block laying procedures Measuring work productivity Utilizing most productive practice Practicing 3R and 5S,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,
2,,3.9 Perform housekeeping,Explain 3R and 5S,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,
