,0,1,2,3
0,Unit of Competency,Learning Outcomes,Methodology,Assessment Approach
1,12. Prepare desserts,12.1 Perform mise en place 12.2 Prepare desserts and sweet sauces 12.3 Plate/Present desserts 12.4 Store desserts,Discussion/ Demonstration Video viewing,Written examination Demonstration Observation in workplace OJT
2,13. Package prepared food,13.1 Select packaging materials 13.2 Package food,Discussion/ Demonstration Video viewing,Written examination Demonstration Observation in workplace OJT
