,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,Manufacturer's standards Perform Coolant oil top-up based on Manufacturer's standards,,,
2,2. Perform periodic maintenance of automotive engine,2.1 Prepare for inspection and service engine,"Determine job requirements from workplace instructions Source and interpret servicing information Identify hazards associated with the work and manage risks Select tools, equipment and materials and check it's serviceability",Lecture Demonstration Video presentation Workshop visit,Demonstration Written exam Interview,41 hrs
3,,2.2 Inspect engine,"Carried out inspection according to manufacturer specifications, workplace procedures and safety requirements Compared inspection results with manufacturer specifications Report inspection findings according to workplace procedures, including recommendations for necessary repairs or adjustments",Lecture Demonstration Video presentation Workshop visit,Demonstration Written exam Interview,47 hrs
4,,2.3 Service engine,"Carry out service and adjustments according to manufacturer specifications, workplace procedures, and safety and environmental requirements, and without causing damage to components or systems Carry out post-service testing according to workplace procedures",Lecture Demonstration Video presentation Workshop visit,Demonstration Written exam Interview,28 hrs
