,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,"procedures of data gathering Discuss techniques in conducting interviews, surveys, focus group discussion Develop appropriate data gathering tools Gather data Explain the basic statistics and statistical analysis Use appropriate statistical tool/s to analyze data Analyze the data gathered Discuss the procedures in using the data for choosing project site Explain the criteria for choosing project site Use data for choosing project site",Workshop Hands- on/Simulation exercises Powerpoint Presentation,,
2,,2.2 Organize Agroenterprise (AE) industry stakeholders,Conduct buy-in session,Lecture Discussion,Written exam Oral questioning Illustration/Mapp ing,
