,0,1,2,3
0,Unit of Competency,Learning Outcomes,Methodology,Assessment Approach
1,1. Weld Carbon Steel Plates Using SMAW,"1.1 Explain the essentials of welding 1.2 Deposit weld beads on plate 1.3 Weld plates in single pass fillet joints in all positions 1.4 Weld plates in multiple pass fillet joints in all positions 1.5 Weld plates in single pass groove joints in flat, horizontal and vertical positions 1.6 Weld plates in multiple pass groove joints in flat, horizontal and vertical positions",Discussion Demonstration,Observation and oral questioning Demonstration and oral questioning Written test
2,2. Weld Carbon Steel Plates and Pipes Using SMAW,"2.1 Weld plates in single pass groove joints in overhead positions 2.2 Weld plates in multiple pass groove joints in overhead positions 2.3 Weld pipe in 1G, 2G, 5G and 6G positions",Discussion Demonstration,Observation and oral questioning Demonstration and oral questioning
