,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodologies,Assessment Methods,Nominal Duration
1,3. Perform productive operation for rigid on-highway dump truck,3.1 Prepare for loading operation,Understand safe work practices Explain and interpret ways of communication during loading operation Identify and explain worksite conditions and safe operating techniques Explain loading procedures,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,80 Hours
2,,3.2 Perform hauling operation,Explain and interpret ways of communication during hauling operation Identify and explain worksite conditions and safe operating techniques Explain hauling procedures,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,
3,,3.3 Perform dumping operation,Explain and interpret ways of communication during dumping operation Identify and explain worksite conditions and safe operating techniques Explain dumping procedures,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,
