,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,"Conduct the market visits Discuss marketing concepts to include supply and demand, marketing practices and strategies, value addition and value chain relationships Discuss the analysis of the consolidated interview and observation results as basis to select buyers and BDS providers to engage Explain marketing projections of sales, costs and income Give examples of various marketing arrangements with buyers and BDS providers Explain market negotiation Engage buyers and BDS providers",,,
2,,5.2 Undertake test marketing,Explain the importance of preparatory activities,Lecture Discussion,Written exam Oral questioning,
