,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodologies,Assessment Methods,Nominal Duration
1,,,Conduct road test Apply procedures for shop maintenance Apply 5S Apply tools and equipment maintenance Observe environmental rules and regulations,,,
2,,3.4 Service Wheels and Tires,Apply Company standard operating procedure Apply company occupational safety and health (OSH) policies Explain procedures on service manual Explain procedures for shop maintenance Explain principle operation of wheels & tires Identify types of wheels & tires Identify wheels & tires components and it's functions Diagnose wheels & tires malfunction Apply procedures for disassembly and assembly of wheels & tires,Lecture Discussion Demonstration/ Hands-on,Written Test Interview Oral Questioning Practical examination Demonstration,24 Hrs.
