,0,1,2,3
0,4. Process farm,4.1 Collect farm wastes,Self-,Oral/Written
1,wastes,4.2 Identify and segregate,paced/modular,Interviews
2,,wastes,Lecture/Discuss,Direct
3,,4.3 Treat and process farm,ion,Observation
4,,wastes,Interaction,Practical
5,,4.4 Perform housekeeping,Practical,Demonstration
6,,,Demonstration,
7,,,Visit/tour,
