,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,Identify farmers for clustering using farmer registry Mobilize identified farmers for clustering Identify farmers to be profiled Discuss the date and venue Convene farmers for profiling on the agreed date and venue Enumerate agreements related to AE implementation Discuss the procedures in formulating and recording agreements Formulate and record agreement/policies,,,
2,,1.3 Sustain partnership,Explain the different types of issues Explain the protocol in handling issues Discuss strategies in conveying issues to concerned partners,Lecture Discussion Case exercises Demonstration Meetings Consultation,Written exam Oral Questioning Interview,
