,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,"Discuss the interview questions and tips in conducting the interview Show how to conduct the interview of buyers and BDS Discuss how to consolidate data from the interview and observation gathered from the market visit Organize the market visits Discuss marketing concepts to include supply and demand, marketing practices and strategies, value addition and value chain relationships Discuss the analysis of the consolidated interview and observation results as basis to select buyers and BDS providers to engage Explain marketing projections of sales, costs and income",,,
