,0,1,2,3,4,5,6
0,Unit of Competency,Learning Outcomes,Learning Contents,Practical Activities,Methodologies,Assessment Methods,Nominal Duration
1,,,"- drywall Trade theory - Grades of sandpaper - Paint defects and troubleshooting - Various paint remover and cleaner surface treatments (e.g. skim coat, joint compounds) Tools and equipment - Sander - Compressor - Handtools, Spatula, hammer, nail set) Methods and procedures - Surface preparation 5S DOLE Department Order No. 13 S. 1998 Guidelines Governing Occupational Safety and Health in the Construction Industry 3Rs",,,,
2,,2.3 Prepare previously coated/ covered surfaces,Safety and maintenance - Safety rules and regulations - Fire prevention,Following safety and maintenance procedures Following 5S,Incomplete worksheet Discussion,Written and Oral Examination Demonstration,
