,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,1.2 Haul/transport materials,Identify hauling equipment for specific material Enumerate and explain the basic methods and processes in hauling/transporting materials Select and use appropriate PPE to specific tasks Identify and describe safe work practices and first aid regulations Practicing 3R and 5S Perform safe work practices and respond to emergency situations. Measuring work productivity Utilizing most productive practice,Lecture Practical / Demonstration,Written examination Demonstration with oral questioning,
