,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,handling of torque wrench Demonstrate how to use torque when tightening steering system fasteners Demonstrate how to replace power steering fluid Demonstrate how to check electric power steering malfunction Write job done on the repair order,,,
2,,6.3 Perform work to completion,Recognize good housekeeping practices (5S) Demonstrate the proper storage of torque wrench Conduct final inspection on job performed Report findings and recommendations to immediate superior Perform good housekeeping practices before and after each job,Lecture Demonstration Video presentation Workshop visit,Demonstration Written exam Interview Role play,4 hours
