,0,1,2,3
0,3. Set-up Computer Servers,"3.1. Set-up user access 3.2. Configure network services 3.3. Perform testing, documentation and pre- deployment practices",Lecture Discussion Demonstration Viewing multimedia,Written examination Practical examination
1,4. Maintain and repair computer systems and networks,4.1. Plan and prepare for maintenance and repair 4.2. Maintain computer systems and networks 4.3. Diagnose faults of computer systems 4.4. Rectify/correct defects in computer systems 4.5. Inspect and test the computer systems and networks,Lecture Discussion Demonstration Viewing multimedia,Written examination Practical examination
