,0,1,2,3
0,Unit of Competency,Learning Outcome,Methodology,Assessment Approach
1,1. Install and configure computer systems,1.1. Assemble computer hardware 1.2. Install operating system and drivers for peripherals/ devices. 1.3. Install the computer application software 1.4. Conduct testing and documentation,Lecture Discussion Demonstration Viewing multimedia,Written examination Practical examination
2,2. Set-up computer networks,2.1. Install network cables 2.2. Set network configuration 2.3. Set router/Wi-Fi/wireless access point/repeater configuration 2.4. Inspect and test the configured computer networks,Lecture Discussion Demonstration Viewing multimedia,Written examination Practical examination
