,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,"buyers/consumers showing market actors and flow of the product in the market chain Assess the selected potential buyers and BDS providers to visit and interview Discuss effective organizing and team building Explain rapid market appraisal in studying markets Discuss the process of communicating to the potential buyers and BDS regarding the market visit and its purpose Explain activity planning and organizing: the tasking as interviewer, recorder and observer among the LRT members during the actual interview, and the preparation of the logistics for the market visit",,,
