,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodologies,Assessment Methods,Nominal Duration
1,,,"Explain principle operation of motorcycle/small engine Apply procedures for engine assembly Apply standard torques values, clearances and limits Apply procedures in handling of parts Apply procedures in handling of tools & equipment Apply procedures for shop maintenance Apply 5S Apply tools and equipment maintenance",,,
2,,4.4 Re-install engine to frame,Apply company standard operating procedures Apply company occupational safety and health (OSH) policies Explain procedures on service manual Explain procedures for shop maintenance Apply procedures for engine installation Apply procedures for installation of external components Apply procedures in handling of parts,Lecture Discussion Discussion Demonstration/ Hands-on,Written Test Interview Oral Questioning Practical examination Demonstration,43 Hrs.
