,0,1,2,3,4,5
0,Unit of Competency,Learning Outcomes,Learning Activities,Methodology,Assessment Approach,Nominal Duration
1,,,"Perform the following tasks: Select correct laundry method is as per SOPs Wash clothes, linen and fabric according to the labeling codes and washing instructions Use laundry equipment in accordance with manufacturer's instruction Free clothes, linen and fabric from stain, dirt and unpleasant odor after washing based on procedures Sun-dry/machine dry washed clothes, linen and fabric as per instructions Free dried clothes, linen and fabric from unpleasant odor and static cling Clean washing area in accordance with safety and health procedures Clean equipment after use in accordance with manufacturer's instructions Store all cleaning materials and equipment following safety procedures Carry out or arrange routine maintenance as per standard operating procedures",,,
