,0,1,2,3
0,Unit of Competency,Learning Outcome,Methodology,Assessment Approach
1,1. Perform site assessment,1.1 Validate Parameters for the Installation 1.2 Prepare Installation Data Sheet 1.3 Prepare site assessment report,Lecture- demonstration Case Studies Self-paced instruction Group discussion,Direct observation with questions Demonstration with questions Oral/written examination
2,2. Check PV components/ materials compliance,2.1 Inspect and test components and materials 2.2. Interpret individual component manuals 2.3 Report test results,Lecture- demonstration Case Studies Self-paced instruction Group discussion,Direct observation with questions Oral/written examination
